combo;DL1;DL2;DL3;DL4;DL5;UL1;MOD UL1;NR DL1;NR BW1;NR SCS1;NR DL2;NR BW2;NR SCS2;NR UL1;NR UL BW1;NR UL SCS1;NR UL MOD1;mimo DL1;mimo DL2;mimo DL3;mimo DL4;mimo DL5;mimo NR DL1;mimo NR DL2;mimo LTE UL1;mimo NR UL1;BCS NR;BCS LTE;BCS intraENDC
1A4A-1A4_n7A4A;1A;1A;;;;1A;256qam;7A;50;;;;;7A;50;;256qam;4;4;;;;4;;1;1;;;
1A4A-1A4_n78A4A;1A;1A;;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;;;;4;;1;1;;;
7A4-3A4-3A4-1A4A_n78A4A;7A;3A;3A;1A;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A4-3A4A-3A4-1A4_n78A4A;7A;3A;3A;1A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A4A-3A4-3A4-1A4_n78A4A;7A;3A;3A;1A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
20A4-3A4-3A4-1A4A_n78A4A;20A;3A;3A;1A;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
20A4-3A4A-3A4-1A4_n78A4A;20A;3A;3A;1A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
20A4A-3A4-3A4-1A4_n78A4A;20A;3A;3A;1A;;20A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
28A4-3A4-3A4-1A4A_n78A4A;28A;3A;3A;1A;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
28A4-3A4A-3A4-1A4_n78A4A;28A;3A;3A;1A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
28A4A-3A4-3A4-1A4_n78A4A;28A;3A;3A;1A;;28A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
3A4-3A4-1A4A_n78A4A;3A;3A;1A;;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
3A4A-3A4-1A4_n78A4A;3A;3A;1A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;;;4;;1;1;;;
7A4-7A4-5A2-3A4-1A4A_n78A4A;7A;7A;5A;3A;1A;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;4;4;4;;1;1;;;
7A4-7A4-5A2-3A4A-1A4_n78A4A;7A;7A;5A;3A;1A;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;4;4;4;;1;1;;;
7A4-7A4-5A2A-3A4-1A4_n78A4A;7A;7A;5A;3A;1A;5A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;4;4;4;;1;1;;;
7A4A-7A4-5A2-3A4-1A4_n78A4A;7A;7A;5A;3A;1A;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;2;4;4;4;;1;1;;;
7A4-5A2-3A4-1A4A_n78A4A;7A;5A;3A;1A;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;4;;4;;1;1;;;
7A4-5A2-3A4A-1A4_n78A4A;7A;5A;3A;1A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;4;;4;;1;1;;;
7A4-5A2A-3A4-1A4_n78A4A;7A;5A;3A;1A;;5A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;4;;4;;1;1;;;
7A4A-5A2-3A4-1A4_n78A4A;7A;5A;3A;1A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;2;4;4;;4;;1;1;;;
5A2-3A4-1A4A_n78A4A;5A;3A;1A;;;1A;256qam;78A;100;;;;;78A;100;;256qam;2;4;4;;;4;;1;1;;;
5A2-3A4A-1A4_n78A4A;5A;3A;1A;;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;4;4;;;4;;1;1;;;
5A2A-3A4-1A4_n78A4A;5A;3A;1A;;;5A;256qam;78A;100;;;;;78A;100;;256qam;2;4;4;;;4;;1;1;;;
28A4-7A4-7A4-3A4-1A4A_n78A4A;28A;7A;7A;3A;1A;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;4;4;;1;1;;;
28A4-7A4-7A4-3A4A-1A4_n78A4A;28A;7A;7A;3A;1A;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;4;4;;1;1;;;
28A4-7A4A-7A4-3A4-1A4_n78A4A;28A;7A;7A;3A;1A;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;4;4;;1;1;;;
28A4A-7A4-7A4-3A4-1A4_n78A4A;28A;7A;7A;3A;1A;28A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;4;4;;1;1;;;
7A2-7A2-3A2-1A2A_n78A4-n28A2A;7A;7A;3A;1A;;1A;256qam;78A;100;;28A;30;;28A;30;;256qam;2;2;2;2;;4;2;1;1;;;
7A2-7A2-3A2-1A2A_n78A4A-n28A2;7A;7A;3A;1A;;1A;256qam;78A;100;;28A;30;;78A;100;;256qam;2;2;2;2;;4;2;1;1;;;
7A2-7A2-3A2A-1A2_n78A4-n28A2A;7A;7A;3A;1A;;3A;256qam;78A;100;;28A;30;;28A;30;;256qam;2;2;2;2;;4;2;1;1;;;
7A2-7A2-3A2A-1A2_n78A4A-n28A2;7A;7A;3A;1A;;3A;256qam;78A;100;;28A;30;;78A;100;;256qam;2;2;2;2;;4;2;1;1;;;
7A2A-7A2-3A2-1A2_n78A4-n28A2A;7A;7A;3A;1A;;7A;256qam;78A;100;;28A;30;;28A;30;;256qam;2;2;2;2;;4;2;1;1;;;
7A2A-7A2-3A2-1A2_n78A4A-n28A2;7A;7A;3A;1A;;7A;256qam;78A;100;;28A;30;;78A;100;;256qam;2;2;2;2;;4;2;1;1;;;
7A4-7A4-3A4-1A4A_n28A4A;7A;7A;3A;1A;;1A;256qam;28A;30;;;;;28A;30;;256qam;4;4;4;4;;4;;1;1;;;
7A2-7A2-3A2-1A2A_n28A2A;7A;7A;3A;1A;;1A;256qam;28A;30;;;;;28A;30;;256qam;2;2;2;2;;2;;1;1;;;
7A4-7A4-3A4A-1A4_n28A4A;7A;7A;3A;1A;;3A;256qam;28A;30;;;;;28A;30;;256qam;4;4;4;4;;4;;1;1;;;
7A2-7A2-3A2A-1A2_n28A2A;7A;7A;3A;1A;;3A;256qam;28A;30;;;;;28A;30;;256qam;2;2;2;2;;2;;1;1;;;
7A4A-7A4-3A4-1A4_n28A4A;7A;7A;3A;1A;;7A;256qam;28A;30;;;;;28A;30;;256qam;4;4;4;4;;4;;1;1;;;
7A2A-7A2-3A2-1A2_n28A2A;7A;7A;3A;1A;;7A;256qam;28A;30;;;;;28A;30;;256qam;2;2;2;2;;2;;1;1;;;
7A4-7A4-3A4-1A4A_n78A4A;7A;7A;3A;1A;;1A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A2-7A2-3A2-1A2A_n78A4A;7A;7A;3A;1A;;1A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
7A4-7A4-3A4A-1A4_n78A4A;7A;7A;3A;1A;;3A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A2-7A2-3A2A-1A2_n78A4A;7A;7A;3A;1A;;3A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
7A4A-7A4-3A4-1A4_n78A4A;7A;7A;3A;1A;;7A;256qam;78A;100;;;;;78A;100;;256qam;4;4;4;4;;4;;1;1;;;
7A2A-7A2-3A2-1A2_n78A4A;7A;7A;3A;1A;;7A;256qam;78A;100;;;;;78A;100;;256qam;2;2;2;2;;4;;1;1;;;
40C2-8A2-7A2-3A2-1A2A_n78A4A-n78A4;40C;8A;7A;3A;1A;1A;256qam;78A;60;;78A;60;;78A;60;;256qam;2;2;2;2;2;4;4;1;1;;;
40A2-8A2-7A2-3A2-1A4A_n78A4A-n78A4;40A;8A;7A;3A;1A;1A;256qam;78A;60;;78A;60;;78A;60;;256qam;2;2;2;2;4;4;4;1;1;;;
40C2-8A2-7A2-3A2A-1A2_n78A4A-n78A4;40C;8A;7A;3A;1A;3A;256qam;78A;60;;78A;60;;78A;60;;256qam;2;2;2;2;2;4;4;1;1;;;
40A2-8A2-7A2-3A4A-1A2_n78A4A-n78A4;40A;8A;7A;3A;1A;3A;256qam;78A;60;;78A;60;;78A;60;;256qam;2;2;2;4;2;4;4;1;1;;;
40C2-8A2-7A2A-3A2-1A2_n78A4A-n78A4;40C;8A;7A;3A;1A;7A;256qam;78A;60;;78A;60;;78A;60;;256qam;2;2;2;2;2;4;4;1;1;;;
40A2-8A2-7A4A-3A2-1A2_n78A4A-n78A4;40A;8A;7A;3A;1A;7A;256qam;78A;60;;78A;60;;78A;60;;256qam;2;2;4;2;2;4;4;1;1;;;
40C2-8A2A-7A2-3A2-1A2_n78A4A-n78A4;40C;8A;7A;3A;1A;8A;256qam;78A;60;;78A;60;;78A;60;;256qam;2;2;2;2;2;4;4;1;1;;;
40C2-8A2-7A4-3A4-1A4A_n78A4A;40C;8A;7A;3A;1A;1A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
40C2-8A2-7A2-3A2-1A2A_n78A4A;40C;8A;7A;3A;1A;1A;256qam;78A;60;;;;;78A;60;;256qam;2;2;2;2;2;4;;1;1;;;
40A2-8A2-7A4-3A4-1A4A_n78A4A;40A;8A;7A;3A;1A;1A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
40C2-8A2-7A4-3A4A-1A4_n78A4A;40C;8A;7A;3A;1A;3A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
40C2-8A2-7A2-3A2A-1A2_n78A4A;40C;8A;7A;3A;1A;3A;256qam;78A;60;;;;;78A;60;;256qam;2;2;2;2;2;4;;1;1;;;
40A2-8A2-7A4-3A4A-1A4_n78A4A;40A;8A;7A;3A;1A;3A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
40C2-8A2-7A4A-3A4-1A4_n78A4A;40C;8A;7A;3A;1A;7A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
40C2-8A2-7A2A-3A2-1A2_n78A4A;40C;8A;7A;3A;1A;7A;256qam;78A;60;;;;;78A;60;;256qam;2;2;2;2;2;4;;1;1;;;
40A2-8A2-7A4A-3A4-1A4_n78A4A;40A;8A;7A;3A;1A;7A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
40C2-8A2A-7A4-3A4-1A4_n78A4A;40C;8A;7A;3A;1A;8A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
40C2-8A2A-7A2-3A2-1A2_n78A4A;40C;8A;7A;3A;1A;8A;256qam;78A;60;;;;;78A;60;;256qam;2;2;2;2;2;4;;1;1;;;
40A2-8A2A-7A4-3A4-1A4_n78A4A;40A;8A;7A;3A;1A;8A;256qam;78A;100;;;;;78A;100;;256qam;2;2;4;4;4;4;;1;1;;;
8A2-7A2-3A2-1A2A_n78A4A-n78A4;8A;7A;3A;1A;;1A;256qam;78A;100;;78A;100;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2-3A2A-1A2_n78A4A-n78A4;8A;7A;3A;1A;;3A;256qam;78A;100;;78A;100;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
8A2-7A2A-3A2-1A2_n78A4A-n78A4;8A;7A;3A;1A;;7A;256qam;78A;100;;78A;100;;78A;100;;256qam;2;2;2;2;;4;4;1;1;;;
